COMID,GNIS_Name,AreaSqKM,TotDASqKM,DivDASqKM
10003910, ,1.2321,440530.2495,3.0375
10003970, ,2.3022,440532.5517,5.3397
10003972, ,0.0306,440532.5823,5.3703
945030197,Colorado River,0.3546,440557.6419,437078.0403
10003916,Colorado River,2.6064,440562.3363,437081.0418
945030199,Colorado River,0.0666,440566.0803,437086.4787
945030198,Colorado River,6.759,440618.8905,437139.2889
945030331,Colorado River,6.4062,440629.6923,437150.0907
945030332,Colorado River,0.4626,440646.4503,437166.8487
10003922, ,0,440668.4625,0
10003918,Colorado River,15.6078,440668.4625,437188.8609
10003388, ,0.0288,440668.4913,0.0288
10003924, ,0.0549,440668.5462,0.0837
10003920,Colorado River,0.2682,440668.7307,437189.1291
10003928,Colorado River,0.2601,440669.0745,437189.4729
10003930,Colorado River,0.0072,440856.8856,437377.284
10003934,Colorado River,0.036,440867.1726,437377.8141
10003942,Colorado River,4.9905,440872.2603,437392.6587
10003946,Colorado River,0.342,441119.6667,437640.0651
10003948,Colorado River,0.2088,441327.1428,437847.5412
10004878,Colorado River,0.1062,441327.249,437847.6474
10004880, ,0,441327.357,0
10004882,Colorado River,0.108,441327.357,437847.7554
10004254, ,0.4788,441327.8358,0.4788
10004886, ,0.009,441327.8448,0.4878
10004888, ,0.6606,441328.7871,1.4301
10004890, ,0.0054,441328.7925,1.4355
10004894, ,0.0486,441328.8357,0.0486
10004898,Colorado River,1.7928,441329.1498,437849.5482
10004294, ,0.4419,441329.2344,1.8774
10004896, ,0.009,441329.2434,1.8864
10004908, ,0,441331.731,0
10004910,Colorado River,0.6948,441331.731,437852.1294
10004928,Colorado River,0.1521,441331.8831,437852.2815
10004318, ,0.234,441331.965,0.234
10004914, ,0.009,441331.974,0.243
10004906, ,5.2668,441337.5684,8.7813
10004926,Colorado River,0.2502,441371.1483,437891.5467
10004924, ,0,441371.4606,0
10004920,Colorado River,0.0693,441371.4606,437891.859
10004974, ,0,441371.4984,0
10004918,Colorado River,0.0378,441371.4984,437891.8968
10004328, ,0.072,441371.5704,0.072
10004976,Colorado River,0.4653,441371.9637,437892.3621
10004858, ,0.5409,441372.0015,0.5409
10004322, ,0.0207,441372.132,0.6336
10004940, ,0.1521,441372.2841,0.7857
10004320, ,0.0198,441372.3039,0.8055
10004978, ,0.2223,441372.5262,1.0278
10010622, ,0.2718,441372.8376,1.3392
10004346, ,0.0018,441372.8394,1.341
10004350, ,0.3456,441373.2534,1.755
10004948, ,0.5103,441373.7637,2.2653
10004356, ,0.0441,441373.8078,2.3094
10004950, ,0.0144,441373.8222,2.3238
10004366, ,0.2025,441374.0247,2.5263
10004392, ,0.1647,441374.1894,0.1647
10004994, ,0.0261,441374.2155,0.1908
10004378, ,0.7074,441374.7321,3.2337
10004992, ,0.846,441375.5781,4.0797
10004998, ,0.0423,441375.8112,4.3128
10005000, ,0.0396,441376.1766,4.6782
10005002, ,0.0801,441376.2567,4.7583
10004912, ,0.1773,441579.8151,251.028
10004916, ,0.0369,441579.852,251.0649
10004922,Colorado River,0.081,441623.1096,438143.508
10004982,Colorado River,0,441623.1096,438143.508
10004984,Colorado River,1.1727,441624.2823,438144.6807
10005004,Colorado River,2.5146,441736.9029,438257.3013
10005022,Colorado River,1.6515,441743.3127,438263.7111
10005024,Colorado River,7.9983,441762.489,438282.8874
10005026,Colorado River,3.4506,441820.2924,438340.6908
10005030,Colorado River,0.0144,441820.9827,438341.3811
10005034,Colorado River,0.0135,441843.6519,438364.0503
21412853,Colorado River,0.0027,441843.6546,438364.053
21412645,Colorado River,5.6988,441849.3534,438369.7518
21413705,Colorado River,1.0755,441851.4117,438370.9443
21412663,Colorado River,18.4284,441870.6321,438390.1647
21412655, ,0,441878.283,0
21413707,Colorado River,0.4158,441878.283,438398.6814
21412661, ,0.0045,441878.2875,0.0045
21412667, ,0,441878.2875,0
21413709, ,0,441878.2875,0
21412665, ,0.0045,441878.292,0.009
21412651,Colorado River,0.0153,441878.2983,438398.6967
21411763, ,0.0144,441878.3064,0.0234
21412659, ,0.0018,441878.3082,0.0252
21412657, ,0.0063,441878.3145,0.0315
21412767, ,0.0396,441878.3271,0.0396
21411757, ,0.0234,441878.3379,0.0549
21412653, ,0.0171,441878.355,0.072
21411777, ,0.0288,441878.3559,0.0684
21411779, ,0.0576,441878.3847,0.0576
21412649,Colorado River,0.018,441878.3883,438398.7867
21412831, ,0.1296,441878.4171,0.1296
21412833, ,0,441878.4171,0.1296
21411789, ,0.0675,441878.4846,0.1971
21411791, ,0.1305,441878.6151,0.3276
21412835, ,0.2016,441878.6187,0.2016
945030249, ,0.0072,441878.6259,0.2088
21411801, ,0.1989,441878.6835,0.1989
21412577,Colorado River,0.3105,441878.6988,438399.0972
21411781, ,0,441878.7978,0
21412581, ,0.0054,441878.7978,0.5103
21411771, ,0.0081,441878.8059,0.5184
21411783, ,0.0135,441878.8113,0.0135
21411819, ,0.0999,441878.8977,0.0999
21411767,Colorado River,0.0045,441879.2217,438399.6201
21411807,Colorado River,0.2952,441879.5304,438399.9288
21411821, ,0,441879.5304,0
21412591,Colorado River,0.0738,441879.6042,438400.0026
21412769, ,0.0234,441879.6537,0.1233
21412669,Colorado River,0.162,441879.8895,438400.2879
945030248, ,0.081,441950.5188,72.1017
21411831, ,1.3401,441951.8589,73.4418
21411857, ,0.4293,441952.5546,74.07
21412671, ,0.0153,441952.5699,74.0853
21412675,Colorado River,0.2268,441954.2016,438474.6
21412679,Colorado River,0.5013,441954.8568,438475.2552
21412681,Colorado River,0.5508,441955.4319,438475.8303
21412687,Colorado River,3.7575,441959.9058,438480.3042
21412689, ,0,441959.9058,0
21412027, ,0.1593,441960.0651,0.1593
21412693, ,0.0423,441960.1074,0.2016
21412691,Colorado River,0.2583,441960.1641,438480.5625
21412713,Colorado River,1.3536,441961.7193,438482.1177
21413715,Colorado River,0.0765,441961.8201,438482.2185
21413717,Colorado River,0.7632,441979.5339,438499.9323
21412717,Colorado River,0.0324,441980.1909,438500.5893
21412735,Colorado River,0.7866,441980.9901,438501.3885
21412737,Colorado River,0,441981.4059,438501.8043
21412743,Colorado River,0.0063,441981.4122,438501.8106
21412745,Colorado River,0.5022,441982.5768,438502.9752
